Portfolio_Manager,Year,Month,PF/EPFO_Clients,Corporates_Clients,Non-Corporates_Clients,Non-Residents_Clients,FPI_Clients,Others_Clients,Total_Clients,PF/EPFO_AUM,Corporates_AUM,Non-Corporates_AUM,Non-Residents_AUM,FPI_AUM,Others_AUM,Total_AUM
KSEMA WEALTH PVT LTD,2022,10,0,0,21,14,0,0,35,0,0,18.22,17.86,0,0,36.08
KSEMA WEALTH PVT LTD,2023,1,0,0,22,17,0,0,39,0,0,18.37,19.33,0,0,37.7
KSEMA WEALTH PVT LTD,2023,4,0,0,23,18,0,0,41,0,0,22.74,20.45,0,0,43.19
KSEMA WEALTH PVT LTD,2023,7,0,0,23,18,0,0,41,0,0,26.36,20.11,0,0,46.48
KSEMA WEALTH PVT LTD,2023,10,0,0,29,20,0,0,49,0,0,29.51,21.14,0,0,50.65
KSEMA WEALTH PVT LTD,2024,1,0,0,30,20,0,0,50,0,0,40.59,25.17,0,0,65.75
KSEMA WEALTH PVT LTD,2024,4,0,0,32,20,0,0,52,0,0,46.8,27.05,0,0,73.85
KSEMA WEALTH PVT LTD,2024,7,0,0,33,21,0,0,54,0,0,55.98621,30.90398,0,0,86.89019
KSEMA WEALTH PVT LTD,2024,10,0,0,35,24,0,0,59,0,0,53.7071,29.12688,0,0,82.83398
KUNVARJI FINSTOCK PRIVATE LIMITED,2022,1,0,0,2,0,0,0,2,0,0,1.15,0,0,0,1.15
KUNVARJI FINSTOCK PRIVATE LIMITED,2022,4,0,0,2,0,0,0,2,0,0,1.09,0,0,0,1.09
KUNVARJI FINSTOCK PRIVATE LIMITED,2022,7,0,0,4,0,0,0,4,0,0,2.13,0,0,0,2.13
KUNVARJI FINSTOCK PRIVATE LIMITED,2022,10,0,0,4,0,0,0,4,0,0,1.69,0,0,0,1.69
KUNVARJI FINSTOCK PRIVATE LIMITED,2023,1,0,0,4,0,0,0,4,0,0,2.11,0,0,0,2.11
KUNVARJI FINSTOCK PRIVATE LIMITED,2023,4,0,0,6,1,0,0,7,0,0,3.13,0.52,0,0,3.65
KUNVARJI FINSTOCK PRIVATE LIMITED,2023,7,0,0,6,1,0,0,7,0,0,3.71,0.55,0,0,4.26
KUNVARJI FINSTOCK PRIVATE LIMITED,2023,10,0,0,6,2,0,0,8,0,0,3.62,1.03,0,0,4.65
KUNVARJI FINSTOCK PRIVATE LIMITED,2024,1,0,1,7,4,0,0,12,0,0.53,4.54,2.21,0,0,7.29
